UniProt ID,Gene,Protein Name,Panel
P29017,CD1C,T-cell surface glycoprotein CD1c,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Metabolism"
P09326,CD48,CD48 antigen,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology II"
P22749,GNLY,Granulysin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiometabolic"
Q15762,CD226,CD226 antigen,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
Q99497,PARK7,Parkinson disease protein 7,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q96FQ6,S100A16,Protein S100-A16,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Oncology III"
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P21860,ERBB3,Receptor tyrosine-protein kinase erbB-3,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology II"
P31994,FCGR2B,Low affinity immunoglobulin gamma Fc region receptor II-b,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II"
P21802,FGFR2,Fibroblast growth factor receptor 2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neuro Exploratory"
Q12778,FOXO1,Forkhead box protein O1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
Q9NZN5,ARHGEF12,Rho guanine nucleotide exchange factor 12,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cell Regulation"
P15328,FOLR1,Folate receptor alpha,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
Q92765,FRZB,Secreted frizzled-related protein 3,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P35637,FUS,RNA-binding protein FUS,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
O43561,LAT,Linker for activation of T-cells family member 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Neurology"
Q9Y336,SIGLEC9,Sialic acid-binding Ig-like lectin 9,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neurology"
Q6UX27,VSTM1,V-set and transmembrane domain-containing protein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q8WXI8,CLEC4D,C-type lectin domain family 4 member D,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P08069,IGF1R,Insulin-like growth factor 1 receptor,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P51617,IRAK1,Interleukin-1 receptor-associated kinase 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P07948,LYN,Tyrosine-protein kinase Lyn,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
O60880,SH2D1A,SH2 domain-containing protein 1A,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P16422,EPCAM,Epithelial cell adhesion molecule,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular III"
Q99717,SMAD5,Mothers against decapentaplegic homolog 5,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P21741,MDK,Midkine,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P14174,MIF,Macrophage migration inhibitory factor,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P21757,MSR1,Macrophage scavenger receptor types I and II,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q12968,NFATC3,"Nuclear factor of activated T-cells, cytoplasmic 3","Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P01303,NPY,Pro-neuropeptide Y,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P22466,GAL,Galanin peptides,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Metabolism"
Q9UHF1,EGFL7,Epidermal growth factor-like protein 7,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
Q9NP84,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Neurology"
Q9Y478,PRKAB1,5'-AMP-activated protein kinase subunit beta-1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
Q9BS40,LXN,Latexin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9NQ88,TIGAR,"Fructose-2,6-bisphosphatase TIGAR","Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
Q9HD26,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology III"
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P20472,PVALB,Parvalbumin alpha,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P49788,RARRES1,Retinoic acid receptor responder protein 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
Q9Y240,CLEC11A,C-type lectin domain family 11 member A,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q8N474,SFRP1,Secreted frizzled-related protein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9BZR6,RTN4R,Reticulon-4 receptor,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Metabolism"
Q9BZZ2,SIGLEC1,Sialoadhesin,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Neurology"
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P52823,STC1,Stanniocalcin-1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immune Response"
P13693,TPT1,Translationally-controlled tumor protein,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology III"
Q08345,DDR1,Epithelial discoidin domain-containing receptor 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q16674,MIA,Melanoma-derived growth regulatory protein,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
Q13574,DGKZ,Diacylglycerol kinase zeta,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
O60462,NRP2,Neuropilin-2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q96LC7,SIGLEC10,Sialic acid-binding Ig-like lectin 10,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cell Regulation"
P37023,ACVRL1,Serine/threonine-protein kinase receptor R3,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P19256,CD58,Lymphocyte function-associated antigen 3,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
P56645,PER3,Period circadian protein homolog 3,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
P20936,RASA1,Ras GTPase-activating protein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
Q15797,SMAD1,Mothers against decapentaplegic homolog 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
Q8N6Q3,CD177,CD177 antigen,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P37173,TGFBR2,TGF-beta receptor type-2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P78325,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Oncology II"
O95994,AGR2,Anterior gradient protein 2 homolog,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
P24071,FCAR,Immunoglobulin alpha Fc receptor,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Neuro Exploratory"
Q9BYC5,FUT8,"Alpha-(1,6)-fucosyltransferase","Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
O00622,CCN1,CCN family member 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
O00182,LGALS9,Galectin-9,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
P30086,PEBP1,Phosphatidylethanolamine-binding protein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P42768,WAS,Actin nucleation-promoting factor WAS,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
P68106,FKBP1B,Peptidyl-prolyl cis-trans isomerase FKBP1B,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
P41227,NAA10,N-alpha-acetyltransferase 10,"Explore HT assay library, Olink Explore Cardiometabolic II, Olink Target 96 Neuro Exploratory"
P22105,TNXB,Tenascin-X,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiometabolic"
P35237,SERPINB6,Serpin B6,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Metabolism"
Q9HCN6,GP6,Platelet glycoprotein VI,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
Q02487,DSC2,Desmocollin-2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P62166,NCS1,Neuronal calcium sensor 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P42658,DPP6,Dipeptidyl aminopeptidase-like protein 6,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P13521,SCG2,Secretogranin-2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
O43752,STX6,Syntaxin-6,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
P20849,COL9A1,Collagen alpha-1(IX) chain,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology III"
Q68D85,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,"Explore HT assay library, Olink Explore Oncology II, Flex assay library"
O60500,NPHS1,Nephrin,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
Q9Y258,CCL26,C-C motif chemokine 26,"Explore HT assay library, Olink Explore Inflammation, Flex assay library"
Q5ZPR3,CD276,CD276 antigen,"Explore HT assay library, Olink Explore Inflammation, Flex assay library"
P01903,HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain","Explore HT assay library, Olink Explore Inflammation, Flex assay library"
P05937,CALB1,Calbindin,"Explore HT assay library, Olink Explore Oncology, Flex assay library"
P10082,PYY,Peptide YY,"Explore HT assay library, Olink Explore Cardiometabolic II, Flex assay library"
P05783,KRT18,"Keratin, type I cytoskeletal 18","Explore HT assay library, Olink Explore Oncology, Flex assay library"
Q9H293,IL25,Interleukin-25,"Explore HT assay library, Olink Explore Oncology II, Flex assay library"
Q15399,TLR1,Toll-like receptor 1,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
Q3KPI0,CEACAM21,Carcinoembryonic antigen-related cell adhesion molecule 21,"Explore HT assay library, Olink Explore Inflammation, Flex assay library"
Q8NI17,IL31RA,Interleukin-31 receptor subunit alpha,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
O95786,RIGI,Antiviral innate immune response receptor RIG-I,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immune Response"
Q13219,PAPPA,Pappalysin-1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
P24387,CRHBP,Corticotropin-releasing factor-binding protein,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
Q16288,NTRK3,NT-3 growth factor receptor,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
O94779,CNTN5,Contactin-5,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9NS15,LTBP3,Latent-transforming growth factor beta-binding protein 3,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neuro Exploratory"
O00175,CCL24,C-C motif chemokine 24,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular III"
P48730,CSNK1D,Casein kinase I isoform delta,"Explore HT assay library, Olink Explore Inflammation II, Olink Target 96 Organ Damage"
P23582,NPPC,C-type natriuretic peptide,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
Q9UKX5,ITGA11,Integrin alpha-11,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q96SB3,PPP1R9B,Neurabin-2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q9HCK4,ROBO2,Roundabout homolog 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9UHX3,ADGRE2,Adhesion G protein-coupled receptor E2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Metabolism"
Q9UHC6,CNTNAP2,Contactin-associated protein-like 2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q92832,NELL1,Protein kinase C-binding protein NELL1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
Q9NRA1,PDGFC,Platelet-derived growth factor C,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P18084,ITGB5,Integrin beta-5,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P55789,GFER,FAD-linked sulfhydryl oxidase ALR,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P80303,NUCB2,Nucleobindin-2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P06850,CRH,Corticoliberin,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P53539,FOSB,Protein FosB,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
Q15303,ERBB4,Receptor tyrosine-protein kinase erbB-4,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
Q16653,MOG,Myelin-oligodendrocyte glycoprotein,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
Q9UPY6,WASF3,Actin-binding protein WASF3,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cell Regulation"
P23588,EIF4B,Eukaryotic translation initiation factor 4B,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9Y6D9,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9Y680,FKBP7,Peptidyl-prolyl cis-trans isomerase FKBP7,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q6UXH9,PAMR1,Inactive serine protease PAMR1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q86SJ6,DSG4,Desmoglein-4,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P55103,INHBC,Inhibin beta C chain,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P50895,BCAM,Basal cell adhesion molecule,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q8IWV2,CNTN4,Contactin-4,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q9H156,SLITRK2,SLIT and NTRK-like protein 2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
O43736,ITM2A,Integral membrane protein 2A,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P09769,FGR,Tyrosine-protein kinase Fgr,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
Q92982,NINJ1,Ninjurin-1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
O00221,NFKBIE,NF-kappa-B inhibitor epsilon,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
Q8TDQ1,CD300LF,CMRF35-like molecule 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neurology"
Q02083,NAAA,N-acylethanolamine-hydrolyzing acid amidase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q16775,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial","Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neurology"
Q2VWP7,PRTG,Protogenin,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neurology"
Q15517,CDSN,Corneodesmosin,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
